County,FIPS,TYPE,e-2,b-2,d-2,e-5,b-5,d-5,e-10,b-10,d-10,e-25,b-25,d-25,e-50,b-50,d-50,e-100,b-100,d-100,e-1000,b-1000,d-1000
ANDERSON-Zone-1,48001,SSQ,0.791627149,50.74191788,11.12334127,0.78963807,67.61149431,11.69487692,0.789273342,81.38297976,12.11829618,0.789736527,101.3371232,12.70570108,0.790920954,118.0913798,13.15564827,0.792107165,136.7528786,13.74224552,0.793084436,186.6951696,15.68051463
ANDREWS-Zone-1,48003,SSQ,0.844341425,43.07939429,10.00659318,0.827948613,55.13331257,9.314425681,0.818328552,63.831612,8.945095925,0.806674717,74.54858811,8.535683905,0.797575335,81.6659702,8.217537957,0.788967095,88.68993784,7.964158457,0.774738145,107.7725801,7.781458264
ANGELINA-Zone-1,48005,SSQ,0.8031797,59.45391757,12.24083235,0.791416531,74.21035539,12.10218086,0.784305874,85.35575948,12.06347904,0.775858709,100.0494437,12.06976635,0.769509876,110.8560011,12.0545888,0.763471488,122.0704883,12.16878785,0.753194452,152.1907971,13.12712852
ARANSAS-Zone-1,48007,SSQ,0.835179841,78.46767075,15.2145415,0.802877097,88.48236922,14.63869696,0.783965546,95.6763825,14.23501393,0.761990752,104.0896643,13.69327103,0.745359667,108.6054594,13.12280776,0.730157782,113.3662861,12.7493689,0.707726242,132.5966452,13.41786622
ARCHER-Zone-1,48009,SSQ,0.795259947,41.80714061,9.45649796,0.791917104,54.93121676,10.00346478,0.789976254,65.15989966,10.37800382,0.787720257,79.20193746,10.87497597,0.786250026,90.23434109,11.27742487,0.784672743,101.9886097,11.72221518,0.780518315,132.4395966,12.77845447
ARMSTRONG-Zone-1,48011,SSQ,0.822936652,42.20734432,9.575714539,0.820847875,56.39775694,9.724909744,0.821618024,68.29265414,9.865349669,0.824706919,86.0419783,10.0923522,0.828917913,101.7772723,10.308061,0.832957548,118.9635699,10.5250239,0.836737539,159.0050579,10.87774758
ATASCOSA-Zone-1,48013,SSQ,0.843099873,66.50224709,13.06477178,0.823692936,82.12284185,13.38553301,0.811427166,93.10366465,13.52135015,0.796269529,106.3827789,13.63874476,0.784559505,115.0098469,13.55651668,0.772769073,123.1183036,13.70601318,0.750487994,144.7159845,15.58937708
AUSTIN-Zone-1,48015,SSQ,0.815330469,63.04733652,12.71577983,0.777905635,69.26789408,11.96095502,0.753332681,72.97343805,11.44331968,0.723302686,76.64156385,10.84399531,0.697682164,76.67759693,10.09874467,0.676798744,78.45153488,9.889493967,0.66625154,102.5442923,13.60754862
BAILEY-Zone-1,48017,SSQ,0.810218539,34.13542341,8.251126358,0.818472862,49.94779502,8.260740188,0.822193013,62.26945959,8.25864072,0.825480592,79.16747451,8.246472128,0.826756167,92.08224576,8.196086116,0.82855403,106.3336401,8.21227451,0.836767396,148.1918932,8.646941129
BANDERA-Zone-1,48019,SSQ,0.832232276,66.00551722,13.29422949,0.806752205,79.79517877,13.19496726,0.792208679,90.63428271,13.34765691,0.776085448,105.4426232,13.763805,0.764965661,116.9817773,14.25419566,0.754224266,128.9565507,14.8917813,0.733721475,159.289313,16.59103095
